date_of_demolition,locality,district,area,housing_units,people_left_homeless,minors_left_homeless,type_of_sturcture,reason_for_demolition
2023-06-06,al-Mazra'ah al-Qibliyah,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-06-04,a-Ramadin,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-30,Nur Shams R.C.,Tulkarm,west-bank,0,0,0,Non Resedential,Demolition for alleged military purposes
2023-05-29,Jericho,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-29,Irtas,Bethlehem,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-05-29,Irtas,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-28,Deir Samit,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-24,Hebron,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-24,Hebron,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-24,Kh. Iqteit,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-24,Kh. Iqteit,Hebron,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2023-05-24,al-Walajah,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-24,Beit Jala,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-24,Beit Jala,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-23,Ni'lin,Ramallah and al-Bira,west-bank,1,6,0,Residental,Demolition of houses as punishment
2023-05-22,Balata R.C.,Nablus,west-bank,1,7,4,Residental,Demolition for alleged military purposes
2023-05-22,Balata R.C.,Nablus,west-bank,1,9,7,Residental,Demolition for alleged military purposes
2023-05-22,Balata R.C.,Nablus,west-bank,1,5,3,Residental,Demolition for alleged military purposes
2023-05-22,Balata R.C.,Nablus,west-bank,1,1,0,Residental,Demolition for alleged military purposes
2023-05-22,Balata R.C.,Nablus,west-bank,1,6,4,Residental,Demolition for alleged military purposes
2023-05-22,Balata R.C.,Nablus,west-bank,1,3,0,Residental,Demolition for alleged military purposes
2023-05-22,Kh. Ma'in,Hebron,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2023-05-22,Balata R.C.,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-05-22,Balata R.C.,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-05-22,Kh. Ma'in,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-05-22,Um Safa,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-22,Deir a-Sudan,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-22,Deir a-Sudan,Ramallah and al-Bira,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-21,a-Zuweidin,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-18,Kh. al-Marajim,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-17,a-Nabi Elyas,Qalqiliya,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,Kharas,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,al-Khader,Bethlehem,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,Beit Ula,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,Kharas,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,Jayus,Qalqiliya,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,Jayus,Qalqiliya,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-16,Kharas,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-15,al-'Eizariyah,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-05-15,Balata R.C.,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-05-15,al-Mufaqarah,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-15,Kh. Khilet a-Dabe',Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-15,Hebron,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-15,al-'Eizariyah,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-15,al-'Eizariyah,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-11,Nur Shams R.C.,Tulkarm,west-bank,1,0,0,Non Resedential,Demolition for alleged military purposes
2023-05-11,Nur Shams R.C.,Tulkarm,west-bank,1,0,0,Non Resedential,Demolition for alleged military purposes
2023-05-11,Nur Shams R.C.,Tulkarm,west-bank,1,0,0,Non Resedential,Demolition for alleged military purposes
2023-05-10,Jub a-Dib,Bethlehem,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-10,'Ein a-Duyuk al-Foqa,Jericho,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-10,Qalandia,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-10,a-Zuweidin,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-08,Hizma,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-07,al-Jiftlik,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-07,al-'Auja,Jericho,west-bank,2,0,0,Residental,Demolition on the pretext of unlawful construction
2023-05-07,Fasayil al-Wusta,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-07,Jub a-Dib,Bethlehem,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-05-04,Nablus,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-05-03,Hajjah,Qalqiliya,west-bank,1,6,4,Residental,Demolition of houses as punishment
2023-05-03,Haris,Salfit,west-bank,1,7,4,Residental,Demolition of houses as punishment
2023-03-30,a-Nuwei'mah al-Foqa,Jericho,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-28,Deir Ballut,Salfit,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-28,a-Sawahrah a-Sharqiyah,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-21,Hizma,al-Quds,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-21,Hizma,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-16,Deir 'Ammar,Ramallah and al-Bira,west-bank,3,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-13,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-07,Jenin R.C.,Jenin,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-03-06,She'b al-Batem,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-06,She'b al-Batem,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-06,She'b al-Batem,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-06,She'b al-Batem,Hebron,west-bank,1,0,0,Residental,Demolition on the pretext of unlawful construction
2023-03-06,Jericho,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-06,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-06,a-Za'ayem,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-06,a-Za'ayem,al-Quds,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-05,al-Fureidis,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-05,Marah Ma'alla,Bethlehem,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-02,Beit Ula,Hebron,west-bank,5,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-02,Beit Ula,Hebron,west-bank,2,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-02,Beit Ula,Hebron,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-03-01,Idhna,Hebron,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2023-03-01,Furush Beit Dajan,Nablus,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2023-02-27,al-Fawar R.C.,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-23,al-Jalameh,Jenin,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,Lifjim,Nablus,west-bank,1,3,1,Residental,Demolition on the pretext of unlawful construction
2023-02-22,al-'Eizariyah,al-Quds,west-bank,6,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,al-'Eizariyah,al-Quds,west-bank,1,6,3,Residental,Demolition on the pretext of unlawful construction
2023-02-22,al-'Eizariyah,al-Quds,west-bank,1,3,1,Residental,Demolition on the pretext of unlawful construction
2023-02-22,'Ein a-Duyuk a-Tahta,Jericho,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,Idhna,Hebron,west-bank,1,6,4,Residental,Demolition on the pretext of unlawful construction
2023-02-22,Lifjim,Nablus,west-bank,3,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,al-'Eizariyah,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,Lifjim,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,Qusrah,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,Lifjim,Nablus,west-bank,1,8,3,Residental,Demolition on the pretext of unlawful construction
2023-02-22,Qusrah,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-22,Nablus,Nablus,west-bank,0,0,0,Residental,Demolition for alleged military purposes
2023-02-22,Lifjim,Nablus,west-bank,1,7,5,Residental,Demolition on the pretext of unlawful construction
2023-02-22,Lifjim,Nablus,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-20,al-Buweib,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-16,Hebron,Hebron,west-bank,1,4,3,Residental,Demolition of houses as punishment
2023-02-15,a-Ram,al-Quds,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-15,Kh. Khilet a-Dabe',Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-15,She'b al-Batem,Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
2023-02-12,Masafer Bani Na'im (Khallet al-Masafer),Hebron,west-bank,1,0,0,Non Resedential,Demolition on the pretext of unlawful construction
