,nom,version,price,model,localisation,carburant
114,MERCEDES  Glc,,Appeler pour le prix,2024,Rabat,Hybride
115,HYUNDAI  I40,,158 000 Dhs,2018,Casablanca,Diesel
116,VOLKSWAGEN  Golf 8,,480 000 Dhs,2023,Casablanca,Diesel
117,NISSAN  Juke,,125 000 Dhs,2015,Casablanca,Diesel
118,FIAT  500,,144 000 Dhs,2021,Casablanca,Essence
119,HYUNDAI  Accent,,160 000 Dhs,2021,Casablanca,Diesel
120,MERCEDES  Classe ePack amg line…,Pack amg line…,420 000 Dhs,2018,Casablanca,Diesel
121,DACIA  Dokker,,Appeler pour le prix,2017,Tetouan,Diesel
122,TOYOTA  Rav-4,,Appeler pour le prix,2006,Tetouan,Diesel
123,MERCEDES  220,,Appeler pour le prix,2011,Tetouan,Diesel
124,TOYOTA  Rav-4,,Appeler pour le prix,2006,Tetouan,Diesel
125,NISSAN  Qashqai,,Appeler pour le prix,2016,Tetouan,Diesel
126,JEEP  Wrangler,,Appeler pour le prix,2013,Marrakech,Diesel
127,JEEP  Wrangler,,Appeler pour le prix,2008,Marrakech,Essence
128,JAGUAR  F-pace,,Appeler pour le prix,2016,Marrakech,Diesel
129,MITSUBISHI  L200,,Appeler pour le prix,2015,Marrakech,Diesel
130,TOYOTA  Fj cruiser,,Appeler pour le prix,2008,Marrakech,Essence
131,HYUNDAI  H1,,Appeler pour le prix,2009,Casablanca,Diesel
132,PORSCHE  Macan,,Appeler pour le prix,2020,Casablanca,Essence
133,LAND-ROVER  Range rover vogue,,Appeler pour le prix,2014,Casablanca,Diesel
134,PORSCHE  Macan,,Appeler pour le prix,2015,Casablanca,Diesel
135,MERCEDES  Glc coupe,,Appeler pour le prix,2023,Casablanca,Diesel
136,TOYOTA  Corolla,,200 000 Dhs,2021,Casablanca,Hybride
137,TOYOTA  C-hr,,205 000 Dhs,2018,Casablanca,Hybride
138,PEUGEOT  3008,,305 000 Dhs,2022,Casablanca,Diesel
139,KIA  Picanto,,98 000 Dhs,2019,Casablanca,Essence
140,TOYOTA  CorollaSport,Sport,220 000 Dhs,2020,Casablanca,Hybride
141,HYUNDAI  Santa fe,,279 000 Dhs,2020,Casablanca,Diesel
142,ALFA-ROMEO  Stelvio,,259 000 Dhs,2019,Casablanca,Diesel
143,JAGUAR  Xf,,239 000 Dhs,2018,Casablanca,Diesel
144,ALFA-ROMEO  Stelvio,,269 000 Dhs,2019,Casablanca,Diesel
145,FORD  Focus 5p,,149 000 Dhs,2018,Casablanca,Diesel
146,LAND-ROVER  Range rover,,435 000 Dhs,2018,Casablanca,Diesel
147,VOLKSWAGEN  Passat,,190 000 Dhs,2018,Casablanca,Diesel
148,MERCEDES  Classe c coupe,,475 000 Dhs,2019,Casablanca,Diesel
149,TOYOTA  Prado,,288 000 Dhs,2018,Casablanca,Diesel
150,ALFA-ROMEO  Giulia,,295 000 Dhs,2021,Casablanca,Diesel
151,KIA  Seltos,,219 000 Dhs,2022,Casablanca,Diesel
152,PORSCHE  Panamera,,215 000 Dhs,2010,Casablanca,Essence
153,KIA  Carens,,199 000 Dhs,2022,Casablanca,Diesel
154,DACIA  Logan,,119 000 Dhs,2018,Casablanca,Diesel
155,DACIA  Sandero,,147 000 Dhs,2021,Casablanca,Diesel
156,TOYOTA  Corolla,,238 000 Dhs,2022,Casablanca,Hybride
157,TOYOTA  HiluxDouble cabine…,Double cabine…,279 000 Dhs,2019,Casablanca,Diesel
158,RENAULT  Clio,,139 000 Dhs,2019,Casablanca,Diesel
159,AUDI  Q850tdi sline,50tdi sline,1 220 000 Dhs,2023,Rabat,Diesel
160,BMW  Serie 7730d pack m,730d pack m,780 000 Dhs,2019,Rabat,Diesel
161,JAGUAR  Xf,,268 000 Dhs,2018,Rabat,Diesel
162,VOLVO  Xc60,,318 000 Dhs,2018,Rabat,Diesel
163,HYUNDAI  Tucson,,218 000 Dhs,2019,Rabat,Diesel
164,MASERATI  Levante,,435 000 Dhs,2017,Rabat,Essence
165,BMW  X4,,315 000 Dhs,2015,Rabat,Diesel
166,LAND-ROVER  Range roverAutobiography…,Autobiography…,Appeler pour le prix,2023,Casablanca,Diesel
167,MERCEDES  Classe sS 580 e 4matic…,S 580 e 4matic…,Appeler pour le prix,2023,Casablanca,Hybride
168,AUDI  Q3 sportbackS line,S line,Appeler pour le prix,2022,Casablanca,Diesel
169,VOLKSWAGEN  TiguanR line 2.0 tdi…,R line 2.0 tdi…,Appeler pour le prix,2023,Casablanca,Diesel
170,AUDI  E-tron55,55,Appeler pour le prix,2022,Casablanca,Electrique
171,CITROEN  C3,,146 997 Dhs,2021,Casablanca,Diesel
172,KIA  PicantoClassic,Classic,62 000 Dhs,2012,Rabat,Essence
173,CITROEN  Berlingo,,52 000 Dhs,2005,Rabat,Diesel
174,CITROEN  C4220,220,65 000 Dhs,2006,Rabat,Diesel
175,DACIA  Logan,,60 000 Dhs,2007,Rabat,Diesel
176,HYUNDAI  Accent,,45 000 Dhs,2006,Rabat,Diesel
177,PORSCHE  Cayenne coupeTurbo s,Turbo s,Appeler pour le prix,2020,Casablanca,Electrique
178,LAND-ROVER  Range rover sportDynamique,Dynamique,Appeler pour le prix,2017,Casablanca,Diesel
179,BMW  Serie 7,,Appeler pour le prix,2017,Casablanca,Diesel
180,MERCEDES  Classe c coupe300de,300de,Appeler pour le prix,2023,Casablanca,Diesel
181,BMW  Serie 5Pack m,Pack m,Appeler pour le prix,2021,Casablanca,Diesel
182,AUDI  Q5Sline,Sline,Appeler pour le prix,2019,Casablanca,Diesel
183,MERCEDES  Glc coupe300de,300de,Appeler pour le prix,2022,Casablanca,Electrique
184,LEXUS  Rx 350h2022,2022,380 000 Dhs,Casablanca,Hybride,Afficher l'annonce
185,BMW  Serie 5Pack m,Pack m,Appeler pour le prix,2020,Rabat,Diesel
186,CITROEN  Xsara,,30 500 Dhs,2002,Mohammedia,Essence
187,VOLVO  Xc60D4,D4,140 000 Dhs,2015,Casablanca,Diesel
188,MERCEDES  Cls,,Appeler pour le prix,2018,Casablanca,Diesel
189,HYUNDAI  Elantra,,245 000 Dhs,2023,Casablanca,Hybride
190,ALFA-ROMEO  Stelvio,,283 000 Dhs,2020,Casablanca,Diesel
191,BMW  Serie 4 gran coupe,,Appeler pour le prix,2015,Casablanca,Diesel
192,BMW  X6,,275 000 Dhs,2016,Casablanca,Diesel
