Location,Type,Pi�ces,Salles de bains,Surface,Prix
Place mozart, Tanger,Appartement,3,2,105,1790000
Malabata, Tanger,Appartement,1,1,72,1152000
Sidi Maarouf, Casablanca,Villa,4,4,372,6000000
Guéliz, Marrakech,Appartement,2,2,120,1600000
Palmeraie, Marrakech,Villa,5,4,600,5300000
Route de Fès, Marrakech,Villa,6,5,7,5600000
Route d'Ourika, Marrakech,Villa,5,5,10,5700000
Les Oudayas, Rabat,Penthouse,5,5,373,14900000
Ferme Bretone, Casablanca,Appartement,3,2,158,2300000
Tamesloht, Marrakech,Villa,4,4,2,2600000
Californie, Casablanca,Villa,7,4,988,14000000
Hivernage, Marrakech,Appartement,2,2,135,1900000
Dar Bouazza, Casablanca,Villa,4,3,306,4650000
Dar Bouazza, Casablanca,Villa,3,3,330,6085000
Boulevard Ghandi, Casablanca,Appartement,2,2,105,1880000
Dar Bouazza, Casablanca,Villa,4,3,628,5500000
Route de Fès, Marrakech,Villa,3,4,1,5300000
Abdelmoumen, Casablanca,Studio,1,0,55,1270000
Chrifia, Marrakech,Villa,5,6,278,6000000
Quartier des Hôpitaux, Casablanca,Appartement,3,2,136,2100000
Les Princesses, Casablanca,Appartement,2,2,124,1950000
Bourgogne, Casablanca,Appartement,2,1,125,1500000
Hivernage, Marrakech,Appartement,2,2,84,1250000
Iberia, Tanger,Appartement,2,2,123,1500000
Val Fleuri, Casablanca,Appartement,3,2,145,2300000
Dar Bouazza, Casablanca,Villa,4,4,606,8200000
Route de Casablanca, Marrakech,Villa,3,3,549,4700000
Sidi Maarouf, Casablanca,Villa,5,5,714,9700000
Dar Bouazza, Casablanca,Villa,4,4,315,3550000
Ain Diab, Casablanca,Villa,4,3,340,6500000
Chrifia, Marrakech,Villa,5,6,278,6000000
Hivernage, Marrakech,Appartement,2,2,85,2000000
Guéliz, Marrakech,Appartement,2,2,125,3200000
Dar Bouazza, Casablanca,Villa,5,3,374,4100000
Mabrouka, Marrakech,Villa,7+,5,456,3600000
Bouznika, Bouznika,Villa,6,5,14,6000000
Amelkis, Marrakech,Villa,7,7+,2,22000000
Casa Green Town, Bouskoura,Villa,3,2,490,6800000
Nejma, Tanger,Appartement,3,3,176,2350000
Californie, Casablanca,Villa,5,5,1,13000000
Malabata, Tanger,Appartement,3,2,109,2520000
Palmeraie, Marrakech,Villa,7,6,720,14000000
Mohammed V, Tanger,Appartement,2,2,100,1800000
Route de Casablanca, Marrakech,Villa,3,3,580,4950000
Chrifia, Marrakech,Villa,6,7+,530,8000000
Amelkis, Marrakech,Villa,7+,7,1,11000000
Maarif Extension, Casablanca,Appartement,2,2,68,1120000
Dar Bouazza, Casablanca,Villa,4,4,350,4600000
Gauthier, Casablanca,Appartement,2,2,308,4195000
Palmeraie, Marrakech,Villa,3,2,350,2800000
Hay Riad, Rabat,Appartement,3,2,180,3500000
Victor Hugo, Marrakech,Appartement,2,2,104,1480000
Dar Bouazza, Casablanca,Terrain,0,0,340,2210000
Founty, Agadir,Villa,3,3,218,4400000
Dar Bouazza, Casablanca,Appartement,4,3,281,2850000
Laymoune, Casablanca,Villa,4,3,700,10000000
Sidi Maarouf, Casablanca,Villa,4,2,450,2520000
Dar Bouazza, Dar Bouazza,Appartement,3,2,134,1600000
El Menzeh, Rabat,Villa,4,4,753,6500000
Guéliz, Marrakech,Appartement,1,1,87,1050000
El Menzeh, Rabat,Villa,4,4,1,7890000
Hay Riad, Rabat,Appartement,3,2,145,2300000
Oasis, Casablanca,Studio,1,0,73,1320000
Oasis, Casablanca,Studio,1,0,63,1450000
Racine, Casablanca,Appartement,3,3,182,3090000
Hay Riad, Rabat,Appartement,2,2,189,2900000
Bouskoura, Casablanca,Villa,4,3,526,7495000
Boulevard Al Massira Al Khadra, Casablanca,Appartement,3,3,182,3090000
Route d'Ourika, Marrakech,Villa,4,6,2,9500000
