Marque;Modèle;Année-Modèle;Kilométrage;Type de carburant;Puissance fiscale;Boite de vitesses;Première main;État;Prix
Mercedes-Benz;220;1993;40 000 - 44 999;Diesel;8;Manuelle;Non;Bon;60000
Toyota;Corolla;2006;200 000 - 249 999;Diesel;8;Manuelle;Non;Très bon;73000
Toyota;Yaris;2013;140 000 - 149 999;Essence;6;Manuelle;Non;Très bon;72000
Audi;A4;2003;180 000 - 189 999;Diesel;8;Manuelle;Non;Bon;63000
Chevrolet;Captiva;2013;150 000 - 159 999;Diesel;9;--;;Très bon;130000
Renault;Clio;2019;45 000 - 49 999;Diesel;7;Manuelle;Non;Excellent;89000
Kia;Carens;2015;140 000 - 149 999;Diesel;7;Manuelle;;Excellent;130000
Ford;Focus;2017;70 000 - 74 999;Diesel;6;--;;;150000
Alfa Romeo;Mito;2010;15 000 - 19 999;Diesel;6;Manuelle;;Très bon;82000
Ford;Focus;2007;200 000 - 249 999;Essence;9;Manuelle;Non;Excellent;65000
Mercedes-Benz;Classe C;2004;200 000 - 249 999;Diesel;8;Manuelle;;Très bon;95000
Citroen;C3;2020;30 000 - 34 999;Diesel;6;--;;;125000
Renault;Laguna;2003;0 - 4 999;Diesel;7;Manuelle;Non;Excellent;63000
Dacia;Logan;2018;170 000 - 179 999;Diesel;6;Manuelle;Non;Excellent;89000
Fiat;Punto;2013;100 000 - 109 999;Essence;5;Manuelle;Non;Excellent;71000
Peugeot;208;2014;45 000 - 49 999;Diesel;7;Manuelle;Non;Très bon;85000
Volkswagen;Jetta;2018;150 000 - 159 999;Diesel;8;Automatique;Oui;Très bon;155000
Renault;Kangoo;2017;120 000 - 129 999;Diesel;6;Manuelle;Oui;Excellent;138000
Citroen;C3;2019;25 000 - 29 999;Diesel;6;Manuelle;Oui;Excellent;146000
Ford;Ranger;2008;200 000 - 249 999;Diesel;10;Manuelle;;Bon;80000
Mercedes-Benz;Classe B;2013;140 000 - 149 999;Diesel;7;--;;;140000
Volkswagen;Polo;2007;190 000 - 199 999;Diesel;8;Manuelle;Non;Excellent;66000
Renault;Megane 3;2010;180 000 - 189 999;Diesel;7;Manuelle;;;80000
Volkswagen;PASSAT CC;2008;160 000 - 169 999;Diesel;8;Automatique;Non;Excellent;123000
Ford;Fusion;2016;100 000 - 109 999;Diesel;8;--;;;160000
Renault;Kangoo;2012;200 000 - 249 999;Diesel;6;Manuelle;Oui;Très bon;80300
Volkswagen;GOLF 5;2009;50 000 - 54 999;Diesel;8;Manuelle;Non;Bon;78000
Audi;A3;2018;10 000 - 14 999;Diesel;8;Automatique;Non;Excellent;350000
BMW;Serie 1;2012;190 000 - 199 999;Diesel;9;--;;;158000
Hyundai;i 10;2010;110 000 - 119 999;Essence;6;Automatique;;;67000
Fiat;126;2014;5 000 - 9 999;Diesel;5;Manuelle;;;74000
Renault;Megane 4;2018;55 000 - 59 999;Diesel;6;Automatique;Oui;Excellent;165000
Fiat;FIORINO;2019;45 000 - 49 999;Diesel;5;Manuelle;Non;Très bon;102000
Renault;Clio;2018;120 000 - 129 999;Diesel;6;Automatique;Non;;123000
Renault;14;2016;160 000 - 169 999;Diesel;6;Manuelle;;Excellent;132000
Renault;Laguna;2008;0 - 4 999;Diesel;8;--;;;72000
